cluster,ancestor
1,node_31513
10,node_29251
100,node_23251
101,node_23235
102,node_23191
103,node_23024
104,node_23022
105,node_23006
106,node_22933
107,node_22862
108,node_22846
109,node_22814
11,node_29198
110,node_22799
111,node_22787
112,node_22720
113,node_22697
114,node_22688
115,node_22685
116,node_22681
117,node_22672
118,node_22529
119,node_22515
12,node_29197
120,node_22451
121,node_22422
122,node_21490
123,node_21426
124,node_21360
125,node_20865
126,node_20670
127,node_20134
128,node_20128
129,node_20084
13,node_29196
130,node_19453
131,node_19430
132,node_19410
133,node_19201
134,node_19143
135,node_19141
136,node_18946
137,node_18914
138,node_18894
139,node_18882
14,node_28402
140,node_18871
141,node_18867
142,node_18864
143,node_18798
144,node_18774
145,node_18753
146,node_18639
147,node_18286
148,node_18268
149,node_18257
15,node_28359
150,node_18255
152,node_18247
153,node_18244
154,node_18217
155,node_18208
157,node_18201
158,node_18197
159,node_18170
16,node_28357
160,node_18164
161,node_18163
162,node_18161
163,node_18155
164,node_18125
167,node_18121
168,node_18118
169,node_18116
17,node_28350
170,node_18112
171,node_18110
172,node_18106
174,node_18100
175,node_18079
176,node_18075
177,node_18065
178,node_18059
179,node_17960
18,node_28331
180,node_17919
181,node_17917
182,node_17908
183,node_17903
184,node_17897
185,node_17862
186,node_17575
187,node_17559
188,node_17481
189,node_17471
19,node_28231
190,node_17354
191,node_17349
192,node_17348
193,node_17339
194,node_17191
195,node_17188
196,node_17187
197,node_17095
198,node_17093
199,node_17081
2,node_31476
20,node_28228
200,node_17077
201,node_17034
202,node_17027
203,node_17023
204,node_16970
205,node_16933
207,node_16917
208,node_16905
209,node_16820
21,node_28118
212,node_16812
213,node_16753
214,node_16703
215,node_16589
216,node_16552
217,node_16547
218,node_16537
219,node_16531
220,node_16524
221,node_16519
223,node_16513
225,node_16468
226,node_16452
227,node_16449
228,node_16434
229,node_16391
23,node_27884
230,node_16381
231,node_16372
232,node_16364
233,node_16358
234,node_16325
235,node_16322
236,node_16314
237,node_16301
238,node_16297
239,node_16288
24,node_27505
240,node_16284
243,node_16257
244,node_16256
245,node_16254
246,node_16224
247,node_16218
248,node_16181
249,node_16153
25,node_27504
250,node_16111
251,node_16100
252,node_16086
253,node_16080
254,node_15796
255,node_15757
256,node_15730
257,node_15724
258,node_15680
259,node_15663
26,node_27464
260,node_15630
261,node_15595
262,node_15546
263,node_15535
264,node_15512
265,node_15477
266,node_15475
267,node_15465
268,node_15448
269,node_15149
27,node_27446
270,node_15128
271,node_15000
272,node_14698
273,node_14673
274,node_14671
275,node_14596
278,node_14583
279,node_14579
28,node_27351
281,node_14538
282,node_13813
283,node_13806
285,node_13804
286,node_13803
287,node_13362
288,node_13339
289,node_13333
29,node_27270
290,node_13108
291,node_13080
292,node_12809
293,node_12731
294,node_12670
295,node_12665
297,node_12649
298,node_12645
299,node_12643
3,node_31385
30,node_26576
300,node_12635
301,node_12625
302,node_12608
303,node_12601
304,node_12594
305,node_12573
306,node_12565
307,node_12552
308,node_12527
309,node_12515
31,node_26573
310,node_12507
311,node_12504
312,node_12484
313,node_12309
315,node_12270
316,node_12152
317,node_11587
318,node_11289
319,node_11278
32,node_26532
320,node_11268
321,node_11214
322,node_9806
323,node_9789
325,node_9787
326,node_9386
327,node_9347
328,node_9346
329,node_9325
33,node_26489
330,node_8976
331,node_8941
332,node_8882
333,node_8640
334,node_8528
335,node_8492
336,node_8406
337,node_8041
338,node_8016
339,node_8003
34,node_26444
340,node_7996
341,node_7957
342,node_7954
343,node_7940
344,node_7933
345,node_7921
346,node_7864
347,node_7855
348,node_7843
35,node_26375
350,node_7812
351,node_7809
352,node_7803
353,node_7797
354,node_7776
355,node_7774
356,node_7771
357,node_7767
358,node_7764
359,node_7761
36,node_26290
360,node_7753
361,node_7750
363,node_7739
364,node_7735
365,node_7732
366,node_7634
367,node_7396
368,node_6633
369,node_6628
37,node_26283
370,node_6627
372,node_6607
373,node_6602
374,node_6502
375,node_6400
376,node_6388
377,node_6340
378,node_6320
379,node_6318
38,node_26156
380,node_6252
381,node_6240
382,node_6233
383,node_6220
384,node_6131
385,node_6081
386,node_5646
387,node_5645
388,node_5532
389,node_5499
39,node_26084
390,node_5478
391,node_5428
392,node_5206
393,node_5144
394,node_5138
395,node_3901
396,node_3804
397,node_3744
398,node_3304
399,node_2882
4,node_29334
40,node_26079
400,node_2868
401,node_2839
402,node_2693
403,node_2672
404,node_2668
405,node_2667
406,node_2631
407,node_2605
408,node_2596
409,node_2533
41,node_25854
410,node_2503
411,node_2496
412,node_2336
413,node_2307
414,node_2302
415,node_2237
416,node_2233
417,node_2231
418,node_2229
42,node_25850
420,node_2218
421,node_2204
422,node_2168
423,node_2162
424,node_2161
425,node_2148
426,node_2114
427,node_2113
428,node_2100
43,node_25846
430,node_2081
431,node_2069
432,node_2065
433,node_2060
434,node_1997
435,node_1947
437,node_1834
438,node_1799
439,node_1798
44,node_25845
440,node_1782
441,node_1771
442,node_1759
443,node_1756
444,node_1749
445,node_1744
446,node_1711
447,node_1683
448,node_1636
45,node_25732
450,node_1628
451,node_1624
452,node_1616
453,node_1602
454,node_1565
455,node_1561
456,node_1480
457,node_1478
458,node_1473
459,node_1451
46,node_25723
460,node_1447
461,node_1442
462,node_1436
463,node_1416
464,node_1394
465,node_1390
466,node_1381
467,node_1372
468,node_1370
469,node_1361
47,node_25721
470,node_1346
471,node_1344
472,node_1343
473,node_1327
474,node_1320
475,node_1296
476,node_1168
477,node_1151
478,node_1134
479,node_1126
48,node_25714
480,node_930
482,node_923
483,node_828
484,node_783
485,node_745
486,node_567
487,node_522
488,node_513
489,node_487
49,node_25658
490,node_486
491,node_484
492,node_475
493,node_331
494,node_326
495,node_319
496,node_313
498,node_269
499,node_229
5,node_29333
50,node_25650
500,node_159
501,node_146
502,node_80
503,node_57
504,node_56
505,node_15
51,node_25642
52,node_25632
53,node_25623
54,node_25556
55,node_25545
56,node_25529
57,node_25514
58,node_25118
59,node_25115
6,node_29329
60,node_25097
61,node_25089
62,node_25056
63,node_25051
64,node_25045
65,node_24979
66,node_24662
67,node_24648
68,node_24623
69,node_24362
7,node_29327
70,node_24346
71,node_24345
72,node_24342
73,node_24231
74,node_24212
75,node_23900
76,node_23801
77,node_23750
78,node_23746
79,node_23743
8,node_29324
80,node_23739
81,node_23667
82,node_23595
83,node_23536
84,node_23510
85,node_23501
86,node_23495
87,node_23460
88,node_23448
89,node_23434
9,node_29258
90,node_23430
91,node_23426
92,node_23401
94,node_23349
95,node_23327
96,node_23321
97,node_23275
98,node_23258
